"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/2024","24,457.15","24,367.50","24,481.35","24,280.00","339.47M","0.75%"
"12/02/2024","24,276.05","24,140.85","24,301.70","24,008.65","220.38M","0.60%"
"11/29/2024","24,131.10","23,927.15","24,188.45","23,927.15","282.10M","0.91%"
"11/28/2024","23,914.15","24,274.15","24,345.75","23,873.35","366.75M","-1.49%"
"11/27/2024","24,274.90","24,204.80","24,354.55","24,145.65","295.01M","0.33%"
"11/26/2024","24,194.50","24,343.30","24,343.30","24,125.40","230.69M","-0.11%"
"11/25/2024","24,221.90","24,253.55","24,351.55","24,135.45","687.17M","1.32%"
"11/22/2024","23,907.25","23,411.80","23,956.10","23,359.00","367.56M","2.39%"
"11/21/2024","23,349.90","23,488.45","23,507.30","23,263.15","420.33M","-0.72%"
"11/19/2024","23,518.50","23,529.55","23,780.65","23,464.80","297.48M","0.28%"
"11/18/2024","23,453.80","23,605.30","23,606.80","23,350.40","263.31M","-0.34%"
"11/14/2024","23,532.70","23,542.15","23,675.90","23,484.15","257.71M","-0.11%"
"11/13/2024","23,559.05","23,822.45","23,873.60","23,509.60","304.57M","-1.36%"
"11/12/2024","23,883.45","24,225.80","24,242.00","23,839.15","255.83M","-1.07%"
"11/11/2024","24,141.30","24,087.25","24,336.80","24,004.60","273.37M","-0.03%"
"11/08/2024","24,148.20","24,207.70","24,276.15","24,066.65","298.73M","-0.21%"
"11/07/2024","24,199.35","24,489.60","24,503.35","24,179.05","322.19M","-1.16%"
"11/06/2024","24,484.05","24,308.75","24,537.60","24,204.05","351.08M","1.12%"
"11/05/2024","24,213.30","23,916.50","24,229.05","23,842.75","289.51M","0.91%"
"11/04/2024","23,995.35","24,315.75","24,316.75","23,816.15","285.53M","-1.27%"
"11/01/2024","24,304.35","24,302.75","24,368.25","24,280.20","38.81M","0.41%"
"10/31/2024","24,205.35","24,349.85","24,372.45","24,172.60","287.01M","-0.56%"
"10/30/2024","24,340.85","24,371.45","24,498.20","24,307.30","285.20M","-0.51%"
"10/29/2024","24,466.85","24,328.85","24,484.50","24,140.85","332.04M","0.52%"
"10/28/2024","24,339.15","24,251.10","24,492.60","24,134.90","278.56M","0.65%"
"10/25/2024","24,180.80","24,418.05","24,440.25","24,073.90","372.64M","-0.90%"
"10/24/2024","24,399.40","24,412.70","24,480.65","24,341.20","216.69M","-0.15%"
"10/23/2024","24,435.50","24,378.15","24,604.25","24,378.10","284.56M","-0.15%"
"10/22/2024","24,472.10","24,798.65","24,882.00","24,445.80","279.48M","-1.25%"
"10/21/2024","24,781.10","24,956.15","24,978.30","24,679.60","241.98M","-0.29%"
"10/18/2024","24,854.05","24,664.95","24,886.20","24,567.65","290.86M","0.42%"
"10/17/2024","24,749.85","25,027.40","25,029.50","24,728.90","252.76M","-0.89%"
"10/16/2024","24,971.30","25,008.55","25,093.40","24,908.45","226.77M","-0.34%"
"10/15/2024","25,057.35","25,186.30","25,212.05","25,008.15","257.23M","-0.28%"
"10/14/2024","25,127.95","25,023.45","25,159.75","25,017.50","206.42M","0.66%"
"10/11/2024","24,964.25","24,985.30","25,028.65","24,920.05","210.46M","-0.14%"
"10/10/2024","24,998.45","25,067.05","25,134.05","24,979.40","261.36M","0.07%"
"10/09/2024","24,981.95","25,065.80","25,234.05","24,947.70","290.56M","-0.12%"
"10/08/2024","25,013.15","24,832.20","25,044.00","24,756.80","333.22M","0.88%"
"10/07/2024","24,795.75","25,084.10","25,143.00","24,694.35","374.35M","-0.87%"
"10/04/2024","25,014.60","25,181.90","25,485.05","24,966.80","374.91M","-0.93%"
"10/03/2024","25,250.10","25,452.85","25,639.45","25,230.30","423.40M","-2.12%"
"10/01/2024","25,796.90","25,788.45","25,907.60","25,739.20","247.42M","-0.05%"
"09/30/2024","25,810.85","26,061.30","26,134.70","25,794.10","343.06M","-1.41%"
"09/27/2024","26,178.95","26,248.25","26,277.35","26,151.40","490.33M","-0.14%"
"09/26/2024","26,216.05","26,005.40","26,250.90","25,998.40","370.90M","0.81%"
"09/25/2024","26,004.15","25,899.45","26,032.80","25,871.35","278.54M","0.25%"
"09/24/2024","25,940.40","25,921.45","26,011.55","25,886.85","384.12M","0.01%"
"09/23/2024","25,939.05","25,872.55","25,956.00","25,847.35","209.19M","0.57%"
"09/20/2024","25,790.95","25,525.95","25,849.25","25,426.60","533.07M","1.48%"
"09/19/2024","25,415.80","25,487.05","25,611.95","25,376.05","314.46M","0.15%"
"09/18/2024","25,377.55","25,402.40","25,482.20","25,285.55","215.73M","-0.16%"
"09/17/2024","25,418.55","25,416.90","25,441.65","25,352.25","215.96M","0.14%"
"09/16/2024","25,383.75","25,406.65","25,445.70","25,336.20","168.69M","0.11%"
"09/13/2024","25,356.50","25,430.45","25,430.50","25,292.45","250.78M","-0.13%"
"09/12/2024","25,388.90","25,059.65","25,433.35","24,941.45","380.07M","1.89%"
"09/11/2024","24,918.45","25,034.00","25,113.70","24,885.15","279.23M","-0.49%"
"09/10/2024","25,041.10","24,999.40","25,130.50","24,896.80","251.27M","0.42%"
"09/09/2024","24,936.40","24,823.40","24,957.50","24,753.15","254.37M","0.34%"
"09/06/2024","24,852.15","25,093.70","25,168.75","24,801.30","311.67M","-1.17%"
"09/05/2024","25,145.10","25,250.50","25,275.45","25,127.75","222.24M","-0.21%"
"09/04/2024","25,198.70","25,089.95","25,216.00","25,083.80","253.79M","-0.32%"
"09/03/2024","25,279.85","25,313.40","25,321.70","25,235.80","212.13M","0.00%"
"09/02/2024","25,278.70","25,333.60","25,333.65","25,235.50","222.82M","0.17%"
"08/30/2024","25,235.90","25,249.70","25,268.35","25,199.40","638.17M","0.33%"
"08/29/2024","25,151.95","25,035.30","25,192.90","24,998.50","353.99M","0.40%"
"08/28/2024","25,052.35","25,030.80","25,129.60","24,964.65","220.42M","0.14%"
"08/27/2024","25,017.75","25,024.80","25,073.10","24,973.65","223.35M","0.03%"
"08/26/2024","25,010.60","24,906.10","25,043.80","24,874.70","210.27M","0.76%"
"08/23/2024","24,823.15","24,845.40","24,858.40","24,771.65","206.80M","0.05%"
"08/22/2024","24,811.50","24,863.40","24,867.35","24,784.45","220.35M","0.17%"
"08/21/2024","24,770.20","24,680.55","24,787.95","24,654.50","257.11M","0.29%"
"08/20/2024","24,698.85","24,648.90","24,734.30","24,607.20","238.32M","0.51%"
"08/19/2024","24,572.65","24,636.35","24,638.80","24,522.95","243.65M","0.13%"
"08/16/2024","24,541.15","24,334.85","24,563.90","24,204.50","271.61M","1.65%"
"08/14/2024","24,143.75","24,184.40","24,196.50","24,099.70","303.25M","0.02%"
"08/13/2024","24,139.00","24,342.35","24,359.95","24,116.50","239.73M","-0.85%"
"08/12/2024","24,347.00","24,320.05","24,472.80","24,212.10","279.93M","-0.08%"
"08/09/2024","24,367.50","24,386.85","24,419.75","24,311.20","215.13M","1.04%"
"08/08/2024","24,117.00","24,248.55","24,340.50","24,079.70","311.88M","-0.74%"
"08/07/2024","24,297.50","24,289.40","24,337.70","24,184.90","317.56M","1.27%"
"08/06/2024","23,992.55","24,189.85","24,382.60","23,960.40","312.34M","-0.26%"
"08/05/2024","24,055.60","24,302.85","24,350.05","23,893.70","486.99M","-2.68%"
"08/02/2024","24,717.70","24,789.00","24,851.90","24,686.85","345.03M","-1.17%"
"08/01/2024","25,010.90","25,030.95","25,078.30","24,956.40","431.31M","0.24%"
"07/31/2024","24,951.15","24,886.70","24,984.60","24,856.50","333.65M","0.38%"
"07/30/2024","24,857.30","24,839.40","24,971.75","24,798.65","384.99M","0.09%"
"07/29/2024","24,836.10","24,943.30","24,999.75","24,774.60","354.97M","0.01%"
"07/26/2024","24,834.85","24,423.35","24,861.15","24,410.90","383.83M","1.76%"
"07/25/2024","24,406.10","24,230.95","24,426.15","24,210.80","391.82M","-0.03%"
"07/24/2024","24,413.50","24,444.95","24,504.25","24,307.25","366.62M","-0.27%"
"07/23/2024","24,479.05","24,568.90","24,582.55","24,074.20","436.41M","-0.12%"
